modulo,classificacao,menu,frontend,backend,banco,rotas,crud,relatorios,dashboard,permissoes,testes,ayla_integrada,arquivos_principais,problemas,pendencias
Exportacao PDF,FUNCIONAL,n/a,sim,sim,n/a,sim varios,n/a,sim,n/a,sim,nao,nao,"varios PDF controllers/closures","-","-"
Exportacao Excel/CSV,FUNCIONAL,n/a,sim,sim,n/a,sim varios,n/a,sim,n/a,sim,nao,nao,"CSV rotas energia/patrimonio/vale","-","-"
Financeiro dashboard,FUNCIONAL,sim,sim,sim,sim,sim,n/a,sim,sim,sim,nao,nao,"financeiro-gerencial.js; financeiro_routes","-","Integrar Ayla"
Fluxo de caixa,FUNCIONAL,sim,sim,sim,sim,sim,sim,sim,n/a,sim,nao,nao,"financeiro_lancamentos","-","Integrar Ayla"
Contas a receber,FUNCIONAL,sim,sim,sim,sim,sim,sim,sim,n/a,sim,nao,nao,"financeiro_contas_receber","-","Integrar Ayla"
Contas a pagar,PARCIAL,via boletos,via boletos,sim,sim,sim,via boletos,parcial,n/a,sim,nao,nao,"boletos; despesas_fixas","Sem modulo unificado","Unificar ou documentar"
DRE,FUNCIONAL,sim,sim,sim,sim,sim,n/a,sim,n/a,sim,nao,nao,"FinanceiroGerencialCalculo","-","Integrar Ayla"
Centros de custo,FUNCIONAL,sim,sim,sim,sim,sim,parcial,n/a,n/a,sim,nao,nao,"financeiro_centros_custo","-","-"
Comissoes,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
Boletos,FUNCIONAL,sim,sim,sim,sim,sim,sim,sim,n/a,sim,nao,nao,"BoletoController","-","Integrar Ayla"
Fechamento de caixa,FUNCIONAL,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,"fechamentos_caixa","Menu duplicado","Limpar menu duplo"
Impostos,FUNCIONAL,sim,sim,sim,sim,sim,sim,parcial,n/a,sim,nao,nao,"impostos.js; ImpostoController","-","-"
Alvara/documentos,FUNCIONAL,sim,sim,sim,sim,sim,sim,parcial,n/a,sim,nao,nao,"AlvaraController","-","-"
Proventos,FUNCIONAL,sim,sim,sim,sim,sim,sim,parcial,n/a,sim,nao,nao,"api.php proventos","-","-"
Despesas fixas,FUNCIONAL,sim,sim,sim,sim,sim,sim,n/a,n/a,sim,nao,nao,"despesas_fixas","-","-"
Vale consumo,FUNCIONAL,sim,sim,sim,sim,sim,sim,CSV/PDF,n/a,sim,nao,nao,"financeiro_vale_consumo","-","-"
Recibo ajuda,FUNCIONAL,sim,sim,sim,sim,sim,sim,PDF,n/a,sim,nao,nao,"recibos_ajuda_custo","F5 loader fraco","Corrigir navigateTo"
Investimentos,FUNCIONAL,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,"investimento.js; investimento_routes","-","Integrar Ayla"
Kanban administrativo,FUNCIONAL,sim,sim,sim,sim,sim,sim,n/a,board,sim,sim Ayla,sim,"KanbanTaskController; AylaKanbanService","-","Fase 2 escrita"
Patrimonio,FUNCIONAL,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim Ayla,sim,"patrimonio.js; patrimonio_routes; AylaPatrimonioService","Garantia so JSON","Documentado"
Manutencao patrimonial,FUNCIONAL,sim,sim,sim,sim,sim,sim,sim,n/a,sim,parcial Ayla alertas,parcial,"patrimonio_manutencoes","-","-"
Inventario patrimonial,FUNCIONAL,sim,sim,sim,sim,sim,sim,PDF/CSV,n/a,sim,nao,nao,"patrimonio_inventario*","-","-"
Energia,FUNCIONAL,sim,sim,sim,sim,sim,sim,CSV/PDF,sim,sim,nao,nao,"energia.js; energia_routes","-","Integrar Ayla"
Manutencao geral,ESTRUTURA,pai menu,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"index.html submenu Manutencao","So Energia","Decidir escopo"
RH funcionarios,FUNCIONAL,sim,sim,sim,sim,sim,sim,PDF,n/a,sim,parcial unit,nao,"api.php funcionarios","-","Integrar Ayla"
RH recrutamento dashboard,FUNCIONAL,sim,sim,sim,sim,sim,n/a,n/a,sim,sim,nao,nao,"RhDashboardController","-","-"
RH vagas,FUNCIONAL,sim,sim+publico,sim,sim,sim,sim,n/a,n/a,sim,nao,nao,"RhVagaController; web /vagas","-","-"
RH candidatos,FUNCIONAL,sim,sim,sim,sim,sim,sim,n/a,n/a,sim,nao,nao,"RhCandidatoController","-","-"
RH entrevistas,PARCIAL,nao,sim,sim,sim,sim,sim,n/a,n/a,custom,nao,nao,"RhEntrevistaController; rhEntrevistasSection","Sem menu","Adicionar menu ou ocultar"
RH banco talentos,PARCIAL,nao,sim,parcial,sim,parcial,parcial,n/a,n/a,em ADMIN/GERENTE,nao,nao,"rhBancoTalentosSection","Sem menu","Adicionar menu ou ocultar"
RH folha ponto,FUNCIONAL,sim,sim,sim,sim,sim,sim,n/a,n/a,sim,nao,nao,"RhFolhaPontoController","-","-"
RH ferias modulo,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"campos so em rescisao","-","Roadmap"
RH atestados,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
RH advertencias,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
RH rescisao,FUNCIONAL,sim,sim,sim,sim,sim,sim,PDF TRCT,sim,sim,nao,nao,"rh-rescisao.js; RhRescisao*","-","Integrar Ayla"
RH escalas,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
RH folha pagamento,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
PDV,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"campos em fechamento","Nao e POS","Roadmap"
Vendas,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
Caixa operador,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
Cardapio digital,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
Reservas mesas,FUNCIONAL,sim,sim,sim,sim,sim,sim,historico,n/a,sim,nao,nao,"MesaController; ReservaMesaController","-","Integrar Ayla"
Delivery,FORA_ESCOPO,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Removido do produto"
Entregadores,FORA_ESCOPO,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Removido com Delivery"
Taxa entrega,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
Fidelidade,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
Clientes CRM,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","financeiro_clientes != CRM","Roadmap"
Clientes financeiro AR,PARCIAL,embedded,embedded,sim,sim,sim,sim,n/a,n/a,sim,nao,nao,"financeiro_clientes","Sem menu","Expor se necessario"
Fiscal NF-e,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
Fiscal NFC-e,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
Fiscal NFS-e,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
Producao / PCP,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
Ficha tecnica,FUNCIONAL,sim,sim,sim,sim,sim,sim,PDF,n/a,sim,nao,nao,"fichas_tecnicas","-","Custos/Ayla"
Custos,PARCIAL,via CMV/ficha,parcial,parcial,parcial,parcial,n/a,parcial,n/a,parcial,nao,nao,"financeiro CMV; ficha","Sem modulo unico","Definir escopo"
Receitas culinarias,PARCIAL,via ficha,via ficha,via ficha,sim,sim,via ficha,n/a,n/a,sim,nao,nao,"fichas_tecnicas","Nao e CRM receita","-"
Dashboard gerencial,FUNCIONAL,financeiroDashboard,sim,sim,sim,sim,n/a,sim,sim,sim,nao,nao,"financeiro_routes","-","Ayla"
Configuracoes,FUNCIONAL,sim,sim,sim,sim,sim,sim,n/a,n/a,sim,nao,nao,"configuracoes-painel.js","-","-"
Usuarios perfis,FUNCIONAL,sim,sim,sim,sim,sim,sim,n/a,n/a,sim,nao,nao,"api.php usuarios","UsuarioController morto","Remover orphan"
Permissoes menu,FUNCIONAL,via usuarios,sim,sim,coluna JSON,sim,sim,n/a,n/a,sim,nao,sim context,"permissoes_menu","Complexo","Documentar matriz"
Auditoria logs,FUNCIONAL,sim,sim,sim,sim,sim,n/a,n/a,n/a,sim,nao,nao,"audit_logs","-","Ayla opcional"
Notificacoes,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","Roadmap"
Integracoes OpenClaw,FUNCIONAL,sim,sim,sim,config+logs,sim,config,n/a,n/a,ADMIN,nao,paralelo,"openclaw-integracao.js","Paralelo a Ayla","Unificar narrativa"
Ayla IA admin,FUNCIONAL,sim,sim,sim,sim,sim,CRUD users,logs,sim,ADMIN,sim,n/a admin,"ayla-ia.js; AylaUsuarioController","-","-"
Ayla API consulta,FUNCIONAL,n/a,n/a,sim,sim,sim,somente GET,sim,sim,token+unidades,sim,n/a,"AylaController; AylaApiService","MCP parcial","Ampliar MCP"
IA antiga chat,LEGADO,removido,removido,services mantidos,ai_* tables,rotas removidas,nao,nao,nao,n/a,n/a,nao,"backup/ia-legada","Tabelas orfas","DROP futuro controlado"
Agentes IA,LEGADO,removido,removido,models removidos,ai_agents*,rotas removidas,nao,nao,nao,n/a,n/a,nao,"migration 2026_06_23","Tabela orfa","DROP futuro"
Memoria conversas IA,LEGADO,removido,removido,removido,ai_conversations/messages,nao,nao,nao,nao,n/a,n/a,nao,"migration 2026_06_17","Tabela orfa","DROP futuro"
MCP,PARCIAL,n/a,n/a,tools.json,n/a,n/a,n/a,n/a,n/a,n/a,nao,sim parcial,"openclaw/mcp-sas-estoque; docs/mcp","So kanban+patrimonio","Parity com API"
Telegram,PARCIAL,config Ayla,bridge,bridge+validar,ayla_usuarios,POST validar,n/a,n/a,n/a,auth,nao,sim auth,"telegram-auth-bridge","Deploy VPS manual","Docs deploy"
WhatsApp,PARCIAL,n/a,deeplink,campos,colunas whatsapp,n/a,n/a,n/a,n/a,n/a,nao,nao,"api.php wa.me","Sem API","Roadmap"
Audio Ayla,PARCIAL,painel,config,keys,sistema_config,n/a,n/a,n/a,n/a,ADMIN,nao,config,"AylaSettings audio_*","Runtime no OpenClaw","Validar VPS"
Base conhecimento,ESTRUTURA,removido,removido,SasIaDocumentService,ai_documents,sem rota publica,upload legado removido,n/a,n/a,n/a,nao,indiretamente DI,"AiDocument","Sem UI","Decidir destino"
OSRM,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","-"
iFood API,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"label proventos only","-","-"
Pagamentos Stripe/PagarMe,NAO_EXISTE,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,"-","-","-"
Jobs filas dominio,ESTRUTURA,nao,nao,nao,jobs scaffold,nao,nao,nao,nao,nao,nao,nao,"app/Jobs ausente","-","Usar se precisar async"
